effect_family,vanilla_reference_shape,modding_use,safe_starting_magnitude,stacking_rule,source_table,notes,status
Shrine blessing,One temporary blessing spell/effect,Prayer reward baseline,"Vanilla-like modest percent or actor-value boost","Do not stack with itself; respect one-active-shrine feel",religion-magic/blessings.csv,"Use vanilla shrine behavior as player expectation anchor.",source-backed
Standing stone,One major always-on specialization,Do not copy directly for routine devotion,"Lower than standing stone unless Champion-tier","Avoid creating a second standing-stone layer",extracted/vanilla-spell-effect-candidates.csv,"Standing stones are strong identity choices; a mod should be quieter.",source-backed
Fortify Health,Actor value modifier,Resilience blessing or neglect recovery,"5-15 points low/mid; 25 max for strong contextual favor","Stack cautiously with enchantments/food",extracted/vanilla-magic-effect-palette.csv,"Easy to feel but can flatten difficulty.",extracted
Fortify Magicka,Actor value modifier,Magic-study or identity boon,"5-15 points low/mid; 25 max for strong contextual favor","Stack cautiously with mage gear",extracted/vanilla-magic-effect-palette.csv,"Useful for Julianos/Magnus/Syrabane-style lanes.",extracted
Fortify Stamina,Actor value modifier,Travel/hunt/labor boon,"5-20 points low/mid; 30 max for strong contextual favor","Stack cautiously with food/survival mods",extracted/vanilla-magic-effect-palette.csv,"Good for Kyne/Hircine/Malacath/Redguard lanes.",extracted
Regeneration rate,HealRate/MagickaRate/StaminaRate,Subtle sustained blessing,"5-15 percent low; 20-25 percent rare","Avoid near-constant high regen","extracted/vanilla-magic-effect-palette.csv","Can become invisible if too small or too strong if stacked.",extracted
Element resistance,ResistFire/ResistFrost/ResistShock,Environmental or religion protection,"5-15 percent common; 20 percent rare","Respect vanilla resistance cap expectations",extracted/vanilla-magic-effect-palette.csv,"Best when tied to place/weather/enemy context.",extracted
Magic resistance,MagicResist,Auri-El/Stendarr/Phynaster defensive boon,"3-10 percent common; 15 percent rare","Very conservative stacking",extracted/vanilla-magic-effect-palette.csv,"Magic resistance is broadly powerful.",extracted
Disease resistance,DiseaseResist,Arkay/Stendarr/Peryite contrast,"10-25 percent or cure privilege","Curse states may override value",religion-magic/diseases.csv,"Better as privilege/cure gating than constant score drip.",source-backed
Poison resistance,PoisonResist,Argonian/Peryite/Namira/Mephala contrast,"10-25 percent contextual","Niche; pair with poison content",extracted/vanilla-magic-effect-palette.csv,"Useful but often invisible without encounters.",extracted
Carry weight,CarryWeight,Zenithar/Malacath/travel/offering boon,"10-25 low/mid; 50 rare","Avoid trivializing survival/logistics",core/actor-values.csv,"Very player-visible and easy to overuse.",source-backed
Speed,SpeedMult,Rare travel/hunt favor,"Avoid permanent changes; tiny temporary only","Do not stack with movement overhauls",core/actor-values.csv,"Can feel modded and destabilize combat.",source-backed
Skill fortify,Skill actor values,Focused build or identity support,"5 points low; 10 points mid; avoid broad bundles","Prefer conditional/contextual over always-on",core/actor-values.csv,"Do not create universal power creep across many skills.",source-backed
Sneak/lockpick/pickpocket,Skill actor values,Nocturnal/Mephala favor,"5-10 contextual","Avoid enabling effortless crime loops",core/actor-values.csv,"Use with crime-state nuance.",source-backed
Speech/barter,Speechcraft or barter effects,Zenithar/Dibella/Imperial social favor,"5-10 skill or small price modifier","Avoid permanent economy trivialization",core/actor-values.csv,"Best as after-act favor after honest trade/charity.",source-backed
Weapon damage,Skill or perk-style effect,Martial contextual favor,"Small temporary boost only","One-active-contextual-favor cap",extracted/vanilla-magic-effect-palette.csv,"Prefer target/context gating over passive damage.",design-inference
Armor rating,Damage resistance / armor modifier,Stendarr/Malacath/Talos protection,"Small temporary boost only","Avoid stacking to cap",extracted/vanilla-magic-effect-palette.csv,"Visible in combat but can be bland.",design-inference
Ward/protection,Magic effect or condition gate,Stendarr/Arkay/Mara defense,"Contextual short duration","Trigger from meaningful defensive acts",extracted/vanilla-magic-effect-palette.csv,"Pairs well with rescue/mercy/protection signals.",design-inference
Cure disease,Spell/activator privilege,Temple privilege or Arkay/Stendarr reward,"Privilege unlock rather than repeatable score","Cooldown or tier gate",religion-magic/diseases.csv,"Feels religious without raw stat inflation.",source-backed
Neglect debuff,Detrimental magic effect,Religious neglect/price/stigma,"Small and legible; never hidden severe drain","Max active neglect effects remains capped",extracted/vanilla-magic-effect-palette.csv,"Player should understand and recover from it.",design-inference
Contextual favor,Short timed ability or magic effect,Automatic reaction boost after a meaningful authored signal,"30-90 sec combat or 2-4 game-hour after-act","Consider one active contextual favor globally",design-inference,"Favor is triggered by authored signals, not manually invoked.",design-inference
Rare major favor,24 game-hour effect,High-cost faithful or major quest response,"One meaningful bonus, not a bundle","Rare; named feedback allowed",design-inference,"Use sparingly for costly/recommitment moments.",design-backed
