symptom,likely cause,inspection path,fix pattern,source_id,validation
CK cannot see a new script,"The script has not compiled to .pex, CK is using the wrong source/output view, or dependencies are missing","Check compiled output folder, source include roots, mod-manager profile, and CK script picker","Compile the script with the correct imports, launch CK through the active profile, then reopen the form",ck_scripts_tab,implementation-reference
CK crashes or behaves oddly while attaching a script to a new quest,"Quest form was not fully created before script attachment","Close/OK the new quest record, reopen it, then use the Scripts Tab","Create the form first, then attach scripts and properties after reopening",ck_scripts_tab,implementation-reference
Script property is None at runtime,"Property was never filled, target record changed, or stale VMAD/save state is being loaded","Inspect CK properties, xEdit VMAD, Papyrus log, and test on a clean save","Fill the property in CK, remove stale duplicate VMAD if present, and test old-save migration separately",ck_save_files_notes,implementation-reference
Duplicate same-name script attachments appear on a record,"Repeated CK/patch/merge operations added another VMAD script row instead of consolidating properties","Inspect the owning record's VMAD Scripts array in xEdit","Choose one canonical script attachment, copy the property union, remove duplicates, then runtime-test",xedit_docs,source-backed
Story Manager event never reaches the quest,"Receiver quest is not linked to the correct event node, event quest shape is wrong, or conditions block startup","Inspect Story Manager node, receiver quest Event field, Shares Event state, and receiver script logs","Wire the receiver under the correct event, keep conditions minimal until proven, and validate payloads in script",ck_sm_event_node,implementation-reference
Story Manager receiver blocks other observers,"Receiver node does not share the event or consumes the event too narrowly","Inspect Story Manager node settings and sibling receiver behavior","Use Shares Event where multiple mods or vanilla systems should observe the event",ck_sm_event_node,implementation-reference
Dialogue does not appear,"Owning quest is not running, SEQ is missing/stale, aliases are unfilled, or conditions fail","Check quest running state, SEQ file, alias fill, branch/topic/info conditions, and actor validity","Start or SEQ the quest as appropriate, mark aliases optional only when safe, and simplify conditions for proof",ck_dialogue_category,implementation-reference
Dialogue appears in the wrong context,"Branch/topic/info conditions are too broad or priority/stacking is misunderstood","Inspect Dialogue Views, Player Dialogue Tab, Topic stack, Quest Conditions, and INFO conditions","Move broad gates to quest/branch where appropriate and make each INFO condition explicit",ck_topic_info,implementation-reference
Scene does not start or stalls,"Scene actor alias is unfilled, actor flags pause/end behavior, or phase conditions never pass","Inspect Scenes Tab actor aliases, start conditions, phase completion rules, and Papyrus logs","Fix alias fill, actor flags, and phase conditions; keep fragments small and observable",ck_scenes_tab,implementation-reference
Quest stage fragment cannot access intended script data,"Fragment scope, kmyQuest selection, or fragment property setup is wrong","Inspect Quest Stage Fragment UI, generated fragment script, and fragment properties","Keep fragment tiny; route through a stable quest script, global event, or filled property",ck_quest_stage_fragments,implementation-reference
Start Game Enabled quest or dialogue works only after reload/noise,"SEQ file missing, stale, or packaged in the wrong output location","Check Seq/<plugin>.seq in the shipped mod and confirm it matches the edited plugin","Regenerate SEQ after eligible quest/dialogue changes and package it with the plugin",ck_quest_data,implementation-reference
Generated output lands in a shared overwrite or CK output mod,"CK/xEdit/MO2 output path is not owned by the target mod","Inspect mod-manager overwrite, CK output mod, xEdit output mod, and target mod folders","Move or regenerate output into the intended mod and keep output mods inactive unless deliberately used",mo2_ck_setup,workflow-synthesis
CK save adds unexpected overrides or masters,"Active file touched records accidentally or loaded dependencies became hard masters","Inspect xEdit for new overrides, file header masters, ITM records, and wild edits","Remove accidental edits with xEdit after proving they are not intentional; keep masters minimal",xedit_docs,source-backed
Old save keeps impossible behavior after script or property edit,"Papyrus instances, properties, registered events, or old function versions are save-baked","Test from a new game/main-menu start and compare with old save; inspect Papyrus logs","Design idempotent migration, unregister old events, clear stale properties, or require a new game for unsafe changes",ck_save_files_notes,implementation-reference
CKPE-specific workflow fails on another setup,"Installed CKPE version or CK version differs from the documented setup","Check local CK version, CKPE wiki support matrix/settings, and loader path","Record CK/CKPE versions and avoid treating CKPE behavior as vanilla CK behavior",ckpe_wiki,source-backed
Dialogue view graph is missing for collaborators,"Dialogue view XML was not distributed or load-order-derived filename changed","Check Data/DialogueViews XML files and plugin/FormID naming","Package dialogue view XML when collaborator editability matters and document rename caveat",ck_dialogue_views_tab,implementation-reference
Papyrus log shows missing script or type mismatch,"Compiled output, dependency source, or plugin VMAD refers to a script the game cannot load","Inspect Scripts output, VMAD script names, dependencies, and Papyrus log path","Ship the required .pex, remove stale VMAD references, and compile against the intended dependency set",local_psc_sources,local-data-backed
