artifact/output,expected location,owner tool,risk if misplaced,verification step,source_id
Active plugin save,Target mod plugin path,Creation Kit,"Saved changes may land in the wrong plugin or overwrite an unintended active file","Check active file before save and inspect git/mod-manager timestamps afterward",ck_data_file
Quest script source,.psc under the mod or source workspace expected by the compiler,Author/compiler,"CK or compiler may use stale or missing source","Confirm source include roots and compile target before CK wiring",local_psc_sources
Compiled quest script,.pex under the shipped mod's Scripts folder,Papyrus compiler or CK compiler,"CK cannot attach script or game logs missing script","Check .pex timestamp and game-visible Scripts folder",ck_scripts_tab
Generated quest fragment source,Source/Scripts or CK output source folder,Creation Kit,"Fragment edits may compile from stale source or shadow real source","Inspect CK output and target source folders after fragment edits",ck_quest_stage_fragments
Generated quest fragment compiled script,Scripts folder shipped with the mod,Creation Kit or Papyrus compiler,"Quest stage or dialogue fragment does not run in game","Confirm .pex exists and VMAD references the same generated script name",ck_quest_stage_fragments
SEQ file,Seq/<PluginName>.seq in the shipped mod,Creation Kit or xEdit,"Start Game Enabled quest/dialogue/scenes may fail until reload or not appear","Regenerate after eligible quest/dialogue changes and confirm packaged Seq path",ck_quest_data
Dialogue view XML,Data/DialogueViews XML path for editable views,Creation Kit,"Collaborators may be unable to see dialogue graph layout","Check XML exists when dialogue view editability matters",ck_dialogue_views_tab
Voice asset calculation/export text,Skyrim root or chosen export location,Creation Kit,"Voice/script planning may use stale line counts","Regenerate after dialogue changes when planning recording or scene exports",ck_quest_data
Scene script export,Skyrim root or chosen export location,Creation Kit,"Voice/scene recording script may not match current scene","Export after scene/dialogue edits and archive with release notes if needed",ck_quest_data
Asset watcher output,Configured CK asset watcher/export output,Creation Kit Asset Watcher,"Meshes/textures may not ship with plugin or may shadow old assets","Check asset watcher settings and target mod asset folders",ck_asset_watcher
Facegen output,Meshes/textures actor character facegen folders,Creation Kit,"NPC edits can ship dark face or missing facegen","Regenerate and verify facegen files after NPC face edits",ck_asset_watcher
xEdit cleaned plugin,Target plugin or deliberate cleaned copy,xEdit,"Cleaning may affect the wrong copy or hide intentional edits","Check file timestamp, masters, and xEdit messages after cleaning",xedit_docs
xEdit generated SEQ,Configured xEdit output mod Seq folder,xEdit,"SEQ may sit in xEdit output and not ship with the mod","Move or configure output so Seq/<PluginName>.seq is in the target mod",xedit_docs
Mod-manager overwrite,Overwrite or generated-output mod,MO2 or configured tools,"Generated files may be active accidentally or omitted from release","Inspect overwrite after every CK/xEdit generation pass",mo2_ck_setup
CKPE configuration,Stock game or CKPE configuration path used by loader,CKPE,"Assumed CK fixes/settings may not apply","Record CKPE version/settings and smoke-test CK startup",ckpe_wiki
Papyrus log,User documents Skyrim Special Edition Logs/Script path,Skyrim runtime,"Runtime evidence may be missed or confused with old sessions","Clear or timestamp logs before smoke tests and inspect newest log",ck_papyrus_runtime_errors
