area,review_question,preferred_pattern,risk_if_ignored,source_id,validation
Source authority,Is each implementation claim backed by the right source tier?,"Use CK Wiki, xEdit docs, local data, or runtime tests for behavior; label community workflow guidance clearly.","Tooling advice may be mistaken for engine truth.",docs_source_authority,implementation-reference
Tool version,Did you record the CK and xEdit versions used for authoring or review?,"Document local tool versions and check release notes for version-sensitive behavior.","Future maintainers cannot reproduce cleaning or header assumptions.",local_ck_xedit_versions,local-data-backed
Task choice,Was the work done in the tool best suited to the task?,"Use CK for authored systems and xEdit for inspection, conflicts, cleaning, and patches.","Raw record edits can miss editor-managed relationships; CK saves can hide dirty edits.",xedit_docs,source-backed
Plugin type,"Was ESP, ESL, ESPFE, or ESM chosen deliberately?","Verify plugin type, header, compacting, masters, and downstream patches in xEdit before release.","Broken references, bad headers, or unexpected load-order behavior.",ck_data_file,implementation-reference
Master dependencies,Are all masters intentional and necessary?,"Keep masters minimal; remove only after proving no record, asset, script, or condition depends on them.","Unneeded hard dependencies make the mod harder to install or merge.",beyond_skyrim_xedit_cleaning,workflow-synthesis
Record ownership,Are new records owned by the mod and overrides limited to intended fields?,"Create new forms in the owning plugin and patch only the fields needed.","Broad overrides create unnecessary conflicts in modlists.",xedit_docs,source-backed
FormIDs,Are FormIDs documented with source plugin and not treated as stable runtime prefixes?,"Prefer EditorID plus source_plugin in docs and tables.","Load-order-dependent prefixes can mislead authors and tools.",uesp_skyrim_form_id,source-backed
Conflict forwarding,Did each forwarded conflict preserve explicit intent?,"Patch by field meaning and feature purpose, not by xEdit color alone.","Compatibility patches can silently erase another mod's behavior.",moddinglinked_xedit_basics,workflow-synthesis
Dirty edits,Was the plugin manually reviewed after CK saves?,"Inspect xEdit for ITM/ITPO records, wild edits, accidental masters, NAVI/navmesh side effects, and VMAD changes.","Release plugins may conflict with unrelated mods or revert fixes.",beyond_skyrim_xedit_cleaning,workflow-synthesis
Quest architecture,"Are quest flags, startup behavior, aliases, stages, and scripts reviewed together?","Use CK for authoring and xEdit for final record/VMAD inspection.","Quests may start unexpectedly, fail to fill aliases, or leave stale save state.",ck_quest_data,implementation-reference
Conditions,Can CK conditions express the behavior before adding Papyrus?,"Prefer conditions, aliases, packages, spells, perks, and Story Manager where they fit.","Scripts become heavier than necessary and harder to patch.",ck_condition_functions,implementation-reference
Papyrus VMAD,Were properties and script attachments checked after script changes?,"Review VMAD in xEdit and test old saves when properties or aliases change.","Stale properties and old instances can persist in saves.",ck_save_files_notes,implementation-reference
Persistence,Could references or scripts become permanently persistent by accident?,"Audit aliases, properties, registered events, placed refs, and ESM/ESL behavior.","Unwanted persistence can bloat memory and save state.",ck_creationkit_persistence,implementation-reference
Leveled lists,Are distribution edits isolated and patchable?,"Use xEdit/local extraction to inspect entries and prefer compatibility patches for shared lists.","Loot or encounter changes may overwrite or be overwritten by other mods.",local_vanilla_extraction,local-data-backed
Metadata,Does the plugin expose useful version and load-order information?,"Put parseable version text in the plugin description where practical and give specific LOOT rationale.","Modlist tools and maintainers cannot reason about compatibility or updates.",loot_mod_authors,source-backed
Bash tags,Are Bash tags added only for changes that should be preserved by the Bashed Patch?,"Use supported tags carefully and avoid tagging unimportant edits.","The Bashed Patch may preserve noise or miss required distribution changes.",wrye_bash_advanced,source-backed
MO2 profile,Was CK launched in the same virtualized profile used for testing?,"Run CK through the active mod manager profile and verify scripts/plugins are visible.","The CK may compile against missing sources or save against the wrong data view.",mo2_ck_setup,workflow-synthesis
CKPE,Is CKPE treated as versioned tooling rather than assumed vanilla behavior?,"Verify support for the installed CK version and record relevant CKPE settings.","A workflow may rely on fixes not present for another author.",ckpe_wiki,source-backed
Assets,"Are generated assets, scripts, archives, and facegen packaged and tested?","Verify paths and files through CK/tool output, xEdit where relevant, and in-game smoke tests.","The plugin may be clean but ship missing or stale assets.",ck_asset_watcher,source-backed
Runtime acceptance,Was the feature tested in game and on a representative modlist?,"Test startup, save/load, old-save migration, conflicts, quests, dialogue, aliases, scripts, and distribution.","Record correctness may not match runtime behavior.",local_vanilla_extraction,implementation-reference
