review_area,question,safer_pattern,risk_if_ignored,source_id,validation
Need for script,Can this behavior be expressed with CK data or conditions instead?,"Use conditions, quest stages, packages, aliases, perks, spells, MGEF conditions, linked refs, or default scripts first.","Unnecessary script instances and save-state migration risk.",beyond_skyrim_scripting_best_practices,implementation-reference
Event shape,Is the script event-driven rather than polling?,"Use activation, alias, effect, trigger, menu, tracked-stat, or mod events.","Polling loops compete with other mods and can create script lag.",ck_onupdate_form,implementation-reference
Timer lifecycle,Are repeated timers single-update chains or clearly unregistered periodic updates?,"Register the next single update only after deciding work remains.","Stacked updates can slow Papyrus and increase save size.",ck_register_single_update,implementation-reference
Loop exits,Does every loop or timer have an exit condition?,"Stop on quest stop, effect finish, unload, dependency loss, timeout, or success.","Permanent checks become save and VM load.",ck_onupdate_form,implementation-reference
Latent work,Are waits short and avoidable?,"Store state and return; split work across updates or quest stages.","Long latent functions keep objects persistent and timing is imprecise.",ck_wait_utility,implementation-reference
Overlap safety,"Can events fire twice, out of order, or after an external call?","Use states, busy flags, version tokens, or queues.","External calls can release the script lock and allow reentry.",ck_threading_notes,implementation-reference
Reference persistence,Are ObjectReference and Actor properties avoided unless justified?,"Use aliases, linked refs, event args, or short local refs.","CK-filled reference properties can keep refs persistent.",ck_papyrus_persistence,implementation-reference
Player reference,Is repeated player access using PlayerREF instead of repeated Game.GetPlayer?,"Use Actor Property PlayerREF Auto for repeated access.","Repeated native calls in hot paths add avoidable work.",papyrus_index_getplayer,implementation-reference
Optional forms,"Are optional forms, references, and casts guarded?","Check for None and successful casts before calls.","Runtime errors abort calls and create log noise.",ck_papyrus_runtime_errors,implementation-reference
GetFormFromFile,Is Game.GetFormFromFile absent from hot paths?,"Use properties for hard data; resolve optional dependencies once and cache.","Repeated lookup is slow and fragile.",bgs_handbook_getformfromfile,implementation-reference
Mass attachment,Is the script avoided on many base-object instances?,"Use central controllers, conditions, targeted aliases, or patcher distribution.","Many script instances amplify every small mistake.",beyond_skyrim_scripting_best_practices,implementation-reference
Save migration,Are renamed/removed variables and properties handled deliberately?,"Use versioned idempotent migration and clean VMAD edits.","Old values, removed properties, and saved stacks can persist.",ck_save_files_notes,implementation-reference
Unregistration,"Are events unregistered on shutdown, effect finish, alias clear, or quest stop?","Unregister updates/events and stop timers during cleanup.","Registered events can keep receivers persistent.",ck_papyrus_persistence,implementation-reference
Logging,Are debug traces outside hot loops and not required for users?,"Use controlled diagnostics and release-safe logging posture.","Trace spam degrades logs and can hide real problems.",bgs_handbook_logging,implementation-reference
Profiling,Was performance measured before optimizing?,"Use stack dumps, Papyrus profiling, and controlled reproduction.","Papyrus bottlenecks are often non-intuitive.",ck_start_papyrus_script_profile,implementation-reference
INI settings,Does the mod avoid requiring Papyrus INI budget changes?,"Fix script behavior and profile bottlenecks instead.","Large budget/memory tweaks can cause stutter, thrashing, or false confidence.",ck_papyrus_ini_settings,implementation-reference
Engine tweak dependency,Does Papyrus Tweaks NG remain a compatibility/tweak context rather than an excuse for heavier scripts?,"Write bounded scripts even when VM tweaks are installed.","Tweaks do not repair bad scripting or corrupted saves.",nexus_papyrus_tweaks_ng,implementation-reference
